,importance_mean,importance_std
TR,0.011666666666666678,0.004714045207910321
Price_Change_1,0.006666666666666672,0.004714045207910321
FR_RSI_Extreme,0.006666666666666672,0.0023570226039551605
Hour_Sin,0.006666666666666672,0.004714045207910321
FR_Volatility,0.0050000000000000044,0.0
Fib_382_Distance,0.0050000000000000044,0.0
Market_Stress,0.003333333333333336,0.0023570226039551605
Lower_Shadow,0.003333333333333336,0.0023570226039551605
Price_FR_Divergence,0.003333333333333336,0.0023570226039551605
OI_Change_Rate,0.003333333333333336,0.004714045207910321
Day_Cos,0.003333333333333336,0.0023570226039551605
ATR_Normalized,0.001666666666666668,0.0023570226039551605
FR_Change,0.001666666666666668,0.0023570226039551605
MACD_Signal,0.001666666666666668,0.0023570226039551605
OI_Normalized,0.001666666666666668,0.0023570226039551605
FR_MA_168,0.001666666666666668,0.0023570226039551605
High_Low_Position,1.850371707708594e-17,0.008164965809277244
Price_Volume_Trend,0.0,0.0
FR_Change_Rate,0.0,0.004082482904638634
ATR_20,0.0,0.0
Volatility_Spike,0.0,0.0
Price_Position,0.0,0.0
High_Vol_Regime,0.0,0.0
Gap,0.0,0.0
FR_Extreme_Low,0.0,0.0
OI_Change_Rate_24h,0.0,0.0
SP500_MA_20,0.0,0.0
SP500_MA_50,0.0,0.0
Market_Balance,0.0,0.0
SP500_Return,0.0,0.0
OI_MA_168,0.0,0.0
FR_OI_Ratio,0.0,0.0
Market_Heat_Index,0.0,0.0
Volatility_Adjusted_OI,0.0,0.0
SP500_Trend,0.0,0.0
SP500_Volatility,0.0,0.0
Volume_Spike,0.0,0.0
FR_Extreme_High,0.0,0.0
OI_Surge,0.0,0.0
OI_MA_24,0.0,0.0
VWAP,0.0,0.0
VWAP_Deviation,0.0,0.0
DXY_Return,0.0,0.0
VIX_Level,0.0,0.0
DXY_Strength,0.0,0.0
DXY_MA_20,0.0,0.0
Equity_Strength,0.0,0.0
VIX_Normalized,0.0,0.0
VIX_Spike,0.0,0.0
VIX_MA_10,0.0,0.0
NASDAQ_MA_20,0.0,0.0
NASDAQ_Trend,0.0,0.0
NASDAQ_Return,0.0,0.0
MA_50,0.0,0.0
Price_Range,0.0,0.004082482904638634
MA_10,0.0,0.0
Price_Momentum_14,0.0,0.0
Price_MA_Ratio_Short,0.0,0.0
FR_Overbought,0.0,0.0
Volatility_Spike_Momentum,0.0,0.0
Volume_Trend_Interaction,0.0,0.0
Hour_Cos,0.0,0.0
Session_Overlap_Europe_US,0.0,0.0
Session_Overlap_Asia_Europe,0.0,0.0
Fib_500_Distance,0.0,0.004082482904638634
Fib_618_Distance,0.0,0.0
Asia_Session,0.0,0.0
Is_Friday,0.0,0.0
Is_Weekend,0.0,0.0
Is_Monday,0.0,0.0
Europe_Session,0.0,0.0
Gap_Up,0.0,0.0
Day_of_Week,0.0,0.0
Gap_Size,0.0,0.0
Support_Distance,0.0,0.0
Breakout_Strength,0.0,0.0
Stochastic_K,0.0,0.0
RSI,0.0,0.0
Bear_Divergence,0.0,0.0
ROC,0.0,0.0
CCI,0.0,0.0
Williams_R,0.0,0.0
Resistance_Distance,0.0,0.0
Bull_Divergence,0.0,0.0
Fib_236_Distance,0.0,0.0
Gap_Down,0.0,0.0
Risk_On_Off,0.0,0.0
USD_Equity_Divergence,0.0,0.0
Range_Bound_Ratio,0.0,0.0
VIX_Change,0.0,0.0
OI_Price_Divergence,0.0,0.004082482904638634
FR_Oversold,0.0,0.0
OI_Momentum_Alignment,0.0,0.0
Volume_Breakout,0.0,0.0
Volatility_Momentum_Interaction,0.0,0.0
US_Session,0.0,0.0
OI_Trend,-0.0016666666666666312,0.015456030825826162
Momentum,-0.001666666666666668,0.0023570226039551605
Day_Sin,-0.001666666666666668,0.0023570226039551605
Vol_Change,-0.001666666666666668,0.0023570226039551605
Returns,-0.001666666666666668,0.0023570226039551605
OI_Price_Correlation,-0.001666666666666668,0.0023570226039551605
FR_Trend,-0.001666666666666668,0.004714045207910321
Trend_Strength,-0.001666666666666668,0.0023570226039551605
Price_Change_5,-0.001666666666666668,0.0023570226039551605
Volume_Trend,-0.003333333333333318,0.004714045207910294
Fib_786_Distance,-0.003333333333333318,0.004714045207910294
Price_MA_Ratio_Long,-0.003333333333333336,0.0023570226039551605
Volume_MA_20,-0.003333333333333336,0.0023570226039551605
Realized_Volatility_20,-0.003333333333333336,0.0023570226039551605
Volume_Ratio,-0.003333333333333336,0.0023570226039551605
FR_Normalized,-0.003333333333333336,0.0023570226039551605
Stochastic_D,-0.0050000000000000044,0.0
MACD,-0.0050000000000000044,0.0
Pivot_Distance,-0.006666666666666636,0.004714045207910295
Upper_Shadow,-0.006666666666666636,0.008498365855987957
Body_Size,-0.006666666666666636,0.004714045207910295
MACD_Histogram,-0.006666666666666654,0.002357022603955134
Market_Efficiency,-0.006666666666666654,0.002357022603955134
Hour_of_Day,-0.006666666666666654,0.0023570226039551345
FR_MA_24,-0.008333333333333304,0.0023570226039551345
Price_Change_20,-0.008333333333333304,0.002357022603955134
